image_path,category_id,category,partition
img/Sheer_Pleated-Front_Blouse/img_00000001.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000002.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000003.jpg,3,Blouse,val
img/Sheer_Pleated-Front_Blouse/img_00000004.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000005.jpg,3,Blouse,test
img/Sheer_Pleated-Front_Blouse/img_00000006.jpg,3,Blouse,val
img/Sheer_Pleated-Front_Blouse/img_00000007.jpg,3,Blouse,test
img/Sheer_Pleated-Front_Blouse/img_00000008.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000009.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000010.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000011.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000012.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000013.jpg,3,Blouse,test
img/Sheer_Pleated-Front_Blouse/img_00000014.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000015.jpg,3,Blouse,val
img/Sheer_Pleated-Front_Blouse/img_00000016.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000017.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000018.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000019.jpg,3,Blouse,test
img/Sheer_Pleated-Front_Blouse/img_00000020.jpg,3,Blouse,test
img/Sheer_Pleated-Front_Blouse/img_00000021.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000022.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000023.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000024.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000025.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000026.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000027.jpg,3,Blouse,val
img/Sheer_Pleated-Front_Blouse/img_00000028.jpg,3,Blouse,val
img/Sheer_Pleated-Front_Blouse/img_00000029.jpg,3,Blouse,test
img/Sheer_Pleated-Front_Blouse/img_00000030.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000031.jpg,3,Blouse,val
img/Sheer_Pleated-Front_Blouse/img_00000032.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000033.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000034.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000035.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000036.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000037.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000038.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000039.jpg,3,Blouse,val
img/Sheer_Pleated-Front_Blouse/img_00000040.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000041.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000042.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000043.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000044.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000045.jpg,3,Blouse,val
img/Sheer_Pleated-Front_Blouse/img_00000046.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000047.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000048.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000049.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000050.jpg,3,Blouse,val
img/Sheer_Pleated-Front_Blouse/img_00000051.jpg,3,Blouse,val
img/Sheer_Pleated-Front_Blouse/img_00000052.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000053.jpg,3,Blouse,test
img/Sheer_Pleated-Front_Blouse/img_00000054.jpg,3,Blouse,test
img/Sheer_Pleated-Front_Blouse/img_00000055.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000056.jpg,3,Blouse,val
img/Sheer_Pleated-Front_Blouse/img_00000057.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000058.jpg,3,Blouse,test
img/Sheer_Pleated-Front_Blouse/img_00000059.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000060.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000061.jpg,3,Blouse,val
img/Sheer_Pleated-Front_Blouse/img_00000062.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000063.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000064.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000065.jpg,3,Blouse,val
img/Sheer_Pleated-Front_Blouse/img_00000066.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000067.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000068.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000069.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000070.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000071.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000072.jpg,3,Blouse,test
img/Sheer_Pleated-Front_Blouse/img_00000073.jpg,3,Blouse,test
img/Sheer_Pleated-Front_Blouse/img_00000074.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000075.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000076.jpg,3,Blouse,test
img/Sheer_Pleated-Front_Blouse/img_00000077.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000078.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000079.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000080.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000081.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000082.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000083.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000084.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000085.jpg,3,Blouse,test
img/Sheer_Pleated-Front_Blouse/img_00000086.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000087.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000088.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000089.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000090.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000091.jpg,3,Blouse,val
img/Sheer_Pleated-Front_Blouse/img_00000092.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000093.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000094.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000095.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000096.jpg,3,Blouse,test
img/Sheer_Pleated-Front_Blouse/img_00000097.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000098.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000099.jpg,3,Blouse,val
img/Sheer_Pleated-Front_Blouse/img_00000100.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000101.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000102.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000103.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000104.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000105.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000106.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000107.jpg,3,Blouse,val
img/Sheer_Pleated-Front_Blouse/img_00000108.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000109.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000110.jpg,3,Blouse,train
img/Sheer_Pleated-Front_Blouse/img_00000111.jpg,3,Blouse,test
img/Sheer_Pleated-Front_Blouse/img_00000112.jpg,3,Blouse,test
img/Sheer_Pleated-Front_Blouse/img_00000113.jpg,3,Blouse,train
