image_path,category_id,category
img/Sheer_Pleated-Front_Blouse/img_00000001.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000002.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000003.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000004.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000005.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000006.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000007.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000008.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000009.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000010.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000011.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000012.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000013.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000014.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000015.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000016.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000017.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000018.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000019.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000020.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000021.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000022.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000023.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000024.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000025.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000026.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000027.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000028.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000029.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000030.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000031.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000032.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000033.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000034.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000035.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000036.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000037.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000038.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000039.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000040.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000041.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000042.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000043.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000044.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000045.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000046.jpg,3,Blouse
img/Sheer_Pleated-Front_Blouse/img_00000047.jpg,3,Blouse
